"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.473683333E-2,-3.857328644E0,2.903961182E0,6.823560333E0,8.359004153E0
2.470483333E-2,-3.748055878E0,2.102527771E0,7.448959808E0,8.599741166E0
3.467283334E-2,-3.316054230E0,1.678309937E0,7.808362427E0,8.647743271E0
4.464183334E-2,-3.153342590E0,1.066083069E0,7.736212463E0,8.421940743E0
5.460983334E-2,-2.936443634E0,6.286926270E-1,7.595205688E0,8.167319333E0
6.457783333E-2,-2.771037598E0,5.417234802E-1,8.525970154E0,8.981329565E0
7.454683333E-2,-2.046394501E0,1.660047913E-1,1.022673340E1,1.043078923E1
8.451483333E-2,-3.959266663E-1,-9.671388245E-1,1.258897110E1,1.263227251E1
9.448283334E-2,1.237027588E0,-2.064656525E0,1.305510178E1,1.327511681E1
1.044508333E-1,2.008373566E0,-1.700463867E0,1.351913681E1,1.377287921E1
1.144198333E-1,1.794019318E0,-1.097667389E0,1.474838058E1,1.489758735E1
1.243878333E-1,1.490899658E0,-6.093827820E-1,1.535342239E1,1.543767173E1
1.343558333E-1,1.348845062E0,-3.478765869E-1,1.473700424E1,1.480269216E1
1.443248333E-1,1.638193359E0,-1.675016785E-1,1.381731674E1,1.391509886E1
1.542928333E-1,1.934127960E0,9.265731812E-2,1.255663834E1,1.270506209E1
1.642608333E-1,1.154100037E0,1.827699280E-1,9.596394196E0,9.667271244E0
1.742298333E-1,4.558021545E-1,1.377136230E-2,7.450606384E0,7.464548261E0
1.841978333E-1,6.162684631E-1,-6.933581543E-1,6.969057770E0,7.030526193E0
1.941658333E-1,1.012494507E0,-1.496737518E0,6.748266907E0,6.986019938E0
2.041338333E-1,1.166524200E0,-1.677411804E0,6.228547668E0,6.555096882E0
2.141028333E-1,1.271156616E0,-1.142873383E0,6.301895142E0,6.529615692E0
2.240708333E-1,1.376238098E0,-5.463638306E-2,6.758745117E0,6.897655543E0
2.340388333E-1,1.352287903E0,9.636959839E-1,7.175777893E0,7.365404326E0
2.440078333E-1,1.578018494E0,1.064436493E0,8.042475586E0,8.264658551E0
2.539758333E-1,1.649719391E0,1.956581268E0,9.379495239E0,9.722382181E0
2.639438333E-1,3.006198578E0,3.030148773E0,7.687863007E0,8.793308199E0
2.739128333E-1,4.915777588E0,2.780917053E0,5.133424988E0,7.632196345E0
2.838808333E-1,6.174510040E0,2.226769409E0,2.920277252E0,7.184086265E0
2.938488333E-1,5.673801270E0,9.797126770E-1,1.772464142E0,6.024407598E0
3.038168333E-1,4.486170959E0,-3.312611389E-1,7.607180786E-1,4.562253370E0
3.137858333E-1,4.275259552E0,-9.651928711E-1,2.661465454E-1,4.390931052E0
3.237538333E-1,4.683311005E0,-7.547305298E-1,1.817670135E0,5.080053628E0
3.337218333E-1,5.327571259E0,8.217910767E-2,4.179608459E0,6.771919654E0
3.436908333E-1,4.866829376E0,1.197958832E0,6.848109283E0,8.486326313E0
3.536588333E-1,3.914659424E0,1.910028076E0,8.786129150E0,9.806570813E0
3.636268333E-1,3.681594086E0,1.767075348E0,9.067843323E0,9.944972238E0
3.735948333E-1,3.439397736E0,6.839277649E-1,9.691147156E0,1.030609272E1
3.835638333E-1,3.556604004E0,-5.665718079E-1,9.481882324E0,1.014280672E1
3.935318333E-1,3.538491669E0,-1.119521942E0,8.749455414E0,9.504063484E0
4.035007083E-1,3.372786255E0,-1.177152100E0,8.373287659E0,9.103478478E0
4.134697083E-1,3.241359558E0,-5.465135193E-1,7.954757996E0,8.607163504E0
4.234377083E-1,3.425626373E0,4.658312988E-1,7.405699768E0,8.172900581E0
4.334057083E-1,3.319646759E0,7.405101013E-1,6.192472687E0,7.065063892E0
4.433747083E-1,2.817441101E0,1.848655701E-1,5.387746124E0,6.082759073E0
4.533427083E-1,2.236349487E0,-7.044351196E-1,5.193150787E0,5.697920934E0
4.633107083E-1,1.846859436E0,-1.320853271E0,5.392835541E0,5.851343291E0
4.732787083E-1,2.083816681E0,-9.798623657E-1,5.564378815E0,6.022020741E0
4.832477083E-1,3.403921509E0,-2.993774414E-2,5.032385101E0,6.075563983E0
4.932157083E-1,5.409750366E0,8.113128662E-1,4.262835388E0,6.935084220E0
5.031837083E-1,6.769971771E0,1.269809418E0,4.854554901E0,8.426840275E0
5.131527083E-1,6.933282166E0,1.748364258E0,6.479875031E0,9.649661112E0
5.231207083E-1,6.318959656E0,1.611099701E0,6.956932983E0,9.535397732E0
5.330887083E-1,6.148015137E0,1.373394012E0,8.621172180E0,1.067749554E1
5.430567083E-1,7.574249268E0,2.030826874E0,1.415905609E1,1.618556082E1
5.530257083E-1,8.797505493E0,1.537003784E0,1.656500290E1,1.881908086E1
5.629937083E-1,9.031019897E0,1.065484314E0,1.592403580E1,1.833765234E1
5.729617083E-1,9.359586639E0,1.617386627E0,1.595891327E1,1.857161044E1
5.829307083E-1,9.165889435E0,2.418670349E0,1.517110153E1,1.788926541E1
5.928987083E-1,9.075477448E0,2.766846313E0,1.319266571E1,1.625011255E1
6.028667083E-1,9.851912842E0,2.897823944E0,1.291379562E1,1.649920264E1
6.128357083E-1,1.159039764E1,3.012036438E0,1.522319321E1,1.936892595E1
6.228037083E-1,1.413495621E1,2.880010986E0,1.764395920E1,2.279036521E1
6.327717083E-1,1.537003784E1,2.477498016E0,1.929906738E1,2.479576701E1
6.427397083E-1,1.509206589E1,2.598596191E0,2.061572937E1,2.568134444E1
6.527087083E-1,1.448897003E1,2.850821686E0,2.051768326E1,2.527909736E1
6.626767083E-1,1.390383682E1,3.016826477E0,1.871782608E1,2.351116615E1
6.726447083E-1,1.378064301E1,3.035537567E0,1.653386765E1,2.173682105E1
6.826137083E-1,1.354323669E1,2.966531067E0,1.453612198E1,2.008776764E1
6.925817083E-1,1.264660126E1,2.944975891E0,1.269330414E1,1.815845192E1
7.025497083E-1,1.149190247E1,2.966082001E0,1.100960541E1,1.618866505E1
7.125177083E-1,1.019170624E1,2.537822571E0,9.700278168E0,1.429709117E1
7.224867083E-1,9.651329956E0,1.665436707E0,9.340725861E0,1.353406846E1
7.324547083E-1,9.351802826E0,1.229842529E0,1.073507629E1,1.429022714E1
7.424227083E-1,7.703730011E0,6.020480347E-1,1.196446976E1,1.424283871E1
7.523917083E-1,5.805227966E0,9.355545044E-2,1.189351730E1,1.323499823E1
7.623597083E-1,3.783382416E0,3.221301270E-1,1.004321503E1,1.073703490E1
7.723277083E-1,2.578388214E0,8.981323242E-1,6.763684845E0,7.293981090E0
7.822967083E-1,1.991309052E0,1.085392914E0,4.558620300E0,5.091601767E0
7.922647083E-1,8.065228271E-1,7.906558228E-1,2.572550354E0,2.809560646E0
8.022327083E-1,-2.290237427E-1,6.044430542E-1,9.105564880E-1,1.116654109E0
8.122007083E-1,-1.109941864E0,2.101629639E-1,2.844085693E-3,1.129666987E0
