"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.126166670E-3,-1.606010284E0,1.022224274E0,9.978848877E0,1.015882062E1
1.109716667E-2,-1.436712341E0,1.015937347E0,9.931397552E0,1.008607597E1
2.106816667E-2,-1.400637360E0,1.036594391E0,9.662107544E0,9.817975104E0
3.104016667E-2,-1.261277161E0,1.169368286E0,9.288185120E0,9.446090465E0
4.101116667E-2,-1.352437592E0,1.216520233E0,9.381441193E0,9.556173281E0
5.098216667E-2,-1.472637634E0,1.187929688E0,9.787097626E0,9.968305698E0
6.095416667E-2,-1.211281128E0,1.175804901E0,9.975256348E0,1.011708744E1
7.092516667E-2,-9.547146606E-1,1.283580780E0,1.002076172E1,1.014764629E1
8.089716667E-2,-6.617738342E-1,1.356928253E0,9.802216187E0,9.917794163E0
9.086816667E-2,-4.793032837E-1,1.426084442E0,9.217981110E0,9.339947763E0
1.008391667E-1,-1.660047913E-1,1.153950348E0,8.868907013E0,8.945203776E0
1.108111667E-1,-2.730322266E-1,1.117426300E0,9.084009705E0,9.156550685E0
1.207821667E-1,-5.981561279E-1,1.146316223E0,9.102720795E0,9.194093621E0
1.307531667E-1,-9.005273438E-1,1.174757080E0,9.115144958E0,9.234547705E0
1.407251667E-1,-1.072669373E0,1.019230499E0,8.729846191E0,8.854358527E0
1.506961667E-1,-1.202599182E0,1.124611359E0,8.968000946E0,9.117896494E0
1.606671667E-1,-1.546434174E0,1.224004669E0,8.220754852E0,8.454020134E0
1.706391667E-1,-2.043999481E0,1.098565521E0,8.916957092E0,9.213951588E0
1.806101667E-1,-2.084864502E0,8.306227112E-1,9.919123077E0,1.016983759E1
1.905811667E-1,-1.939516754E0,1.033151550E0,1.026595184E1,1.049851869E1
2.005531667E-1,-1.881736908E0,1.064137115E0,1.072968750E1,1.094529650E1
2.105241667E-1,-1.807191925E0,8.231382751E-1,1.063313828E1,1.081698335E1
2.204961667E-1,-1.404828644E0,7.038363647E-1,1.096005844E1,1.107211859E1
2.304671667E-1,-1.172960815E0,1.044527893E0,1.014440460E1,1.026527254E1
2.404381667E-1,-1.218615875E0,1.103804626E0,9.436227264E0,9.578402492E0
2.504101667E-1,-1.353186035E0,1.005459137E0,9.242679749E0,9.395168410E0
2.603811667E-1,-1.757345581E0,6.959028625E-1,9.256750488E0,9.447749673E0
2.703521667E-1,-1.895657959E0,5.673202515E-1,9.269773407E0,9.478611205E0
2.803241667E-1,-1.674567719E0,7.762857056E-1,9.209897919E0,9.393030193E0
2.902951667E-1,-1.329385529E0,9.636959839E-1,9.332343292E0,9.475685049E0
3.002661667E-1,-1.072369995E0,9.428892517E-1,9.492959290E0,9.599754873E0
3.102381667E-1,-7.575746155E-1,9.237290955E-1,9.588311005E0,9.662448068E0
