"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.680192800892054E9,"2023-03-30 12:13:20.892 UTC-04:00"
"PAUSE",7.251869179166897E1,1.680192873409276E9,"2023-03-30 12:14:33.409 UTC-04:00"
"START",7.251869179166897E1,1.680192883640438E9,"2023-03-30 12:14:43.640 UTC-04:00"
"PAUSE",1.418954684583368E2,1.680192953015808E9,"2023-03-30 12:15:53.016 UTC-04:00"
"START",1.418954684583368E2,1.680192956796157E9,"2023-03-30 12:15:56.796 UTC-04:00"
"PAUSE",1.435456038333396E2,1.680192958446258E9,"2023-03-30 12:15:58.446 UTC-04:00"
"START",1.435456038333396E2,1.680192965580146E9,"2023-03-30 12:16:05.580 UTC-04:00"
"PAUSE",2.067547746666714E2,1.680193028788035E9,"2023-03-30 12:17:08.788 UTC-04:00"
"START",2.067547746666714E2,1.680193083553325E9,"2023-03-30 12:18:03.553 UTC-04:00"
"PAUSE",2.627137987500064E2,1.680193139511214E9,"2023-03-30 12:18:59.511 UTC-04:00"
