"t(s)","a(m/s²)"
3.429041666E-3,-2.587668915E0
1.339904167E-2,-2.597248993E0
2.336904167E-2,-2.532284088E0
3.333904167E-2,-2.473306732E0
4.330904167E-2,-2.418969727E0
5.327904167E-2,-2.304757233E0
6.324904167E-2,-2.347119141E0
7.321904167E-2,-2.384391632E0
8.318904167E-2,-2.421215057E0
9.315904167E-2,-2.436483307E0
1.031290417E-1,-2.407294006E0
1.130990417E-1,-2.339784393E0
1.230690417E-1,-2.372117157E0
1.330390417E-1,-2.539020081E0
1.430090417E-1,-2.404000854E0
1.529790417E-1,-2.307900696E0
1.629490417E-1,-2.371368713E0
1.729190417E-1,-2.320324860E0
1.828890417E-1,-2.346071320E0
1.928590417E-1,-2.310744781E0
2.028290417E-1,-2.338137817E0
2.127990417E-1,-2.321372681E0
2.227690417E-1,-2.388882294E0
2.327390417E-1,-2.432142334E0
2.427090417E-1,-2.451601868E0
2.526790417E-1,-2.377955017E0
2.626490417E-1,-2.307152252E0
2.726190417E-1,-2.186952209E0
2.825890417E-1,-2.118544464E0
2.925590417E-1,-2.036964111E0
3.025290417E-1,-1.923500061E0
3.124990417E-1,-1.873803406E0
3.224690417E-1,-1.877246246E0
3.324390417E-1,-1.994003448E0
3.424090417E-1,-2.043849792E0
3.523790417E-1,-2.082020416E0
3.623490417E-1,-2.084116058E0
3.723190417E-1,-1.952389984E0
3.822890417E-1,-1.793869629E0
3.922590417E-1,-1.714684296E0
4.022290417E-1,-1.556463318E0
4.121990417E-1,-1.459015961E0
4.221690417E-1,-1.499880981E0
4.321390417E-1,-1.437610474E0
4.421090417E-1,-1.551972656E0
4.520800417E-1,-1.646575928E0
4.620490417E-1,-1.599423981E0
4.720190417E-1,-1.572779388E0
4.819900417E-1,-1.531614990E0
4.919590417E-1,-1.340612183E0
5.019300417E-1,-1.268312531E0
5.119000417E-1,-1.332828369E0
5.218690417E-1,-1.041983185E0
5.318400417E-1,-1.089883575E0
5.418100417E-1,-1.184037781E0
5.517800417E-1,-1.002914429E0
5.617500417E-1,-8.193960571E-1
5.717190417E-1,-1.635349274E0
5.816900417E-1,-1.120420074E0
5.916600417E-1,-7.749385071E-1
6.016300417E-1,-7.162605286E-1
6.116000417E-1,-6.721023560E-1
6.215700417E-1,-1.352437592E0
6.315400417E-1,-1.742676086E0
6.415100417E-1,-1.345252533E0
6.514800417E-1,-1.191222839E0
6.614500417E-1,-8.234376526E-1
6.714200417E-1,-1.110390930E0
6.813900417E-1,-1.539548492E0
6.913600417E-1,-1.678309937E0
7.013300417E-1,-1.872007141E0
7.113000417E-1,-2.267933807E0
7.212700417E-1,-2.121238861E0
7.312400417E-1,-1.634451141E0
7.412100417E-1,-1.660347290E0
7.511800417E-1,-1.781146088E0
7.611500417E-1,-2.281106415E0
7.711200417E-1,-2.735561371E0
7.810900417E-1,-2.912194061E0
7.910600417E-1,-3.281925201E0
8.010300417E-1,-3.861370239E0
8.110000417E-1,-4.267625427E0
8.209700417E-1,-4.546495514E0
8.309399167E-1,-4.748575287E0
8.409099167E-1,-5.272485809E0
8.508799167E-1,-5.972879333E0
8.608499167E-1,-6.754703522E0
8.708199167E-1,-7.500452728E0
8.807899167E-1,-7.949369202E0
8.907599167E-1,-8.367300110E0
9.007299167E-1,-8.916508026E0
9.106999167E-1,-9.582173767E0
9.206699167E-1,-1.009455826E1
9.306399167E-1,-1.047551605E1
9.406099167E-1,-1.097128510E1
9.505799167E-1,-1.153007309E1
9.605499167E-1,-1.184606598E1
9.705199167E-1,-1.222612564E1
9.804899167E-1,-1.282024017E1
9.904599167E-1,-1.358485016E1
1.000429917E0,-1.436532715E1
1.010399917E0,-1.507185791E1
1.020369917E0,-1.530492325E1
1.030339917E0,-1.555265808E1
1.040309917E0,-1.588197327E1
1.050279917E0,-1.612866028E1
1.060249917E0,-1.621083939E1
1.070219917E0,-1.632190842E1
1.080189917E0,-1.639166336E1
1.090159917E0,-1.623793304E1
1.100129917E0,-1.594050156E1
1.110099917E0,-1.526705200E1
1.120069917E0,-1.429257843E1
1.130039917E0,-1.328277832E1
1.140009917E0,-1.241069183E1
1.149979917E0,-1.174442734E1
1.159949917E0,-1.106154739E1
1.169919917E0,-1.041803558E1
1.179889917E0,-9.824519806E0
1.189859917E0,-9.333540802E0
1.199829917E0,-8.909023590E0
1.209799917E0,-8.585097198E0
1.219769917E0,-8.393196259E0
1.229739917E0,-8.121660919E0
1.239709917E0,-7.893684998E0
1.249679917E0,-7.842940521E0
1.259648917E0,-7.822582855E0
1.269619917E0,-7.773335266E0
1.279589917E0,-7.632029114E0
1.289559917E0,-7.596702576E0
1.299529917E0,-7.624394989E0
1.309499917E0,-7.617808685E0
1.319468917E0,-7.709567871E0
1.329438917E0,-7.696694641E0
1.339408917E0,-7.738906860E0
1.349378917E0,-7.746540985E0
1.359348917E0,-7.675738220E0
1.369319917E0,-7.644602966E0
1.379288917E0,-7.559879150E0
1.389258917E0,-7.320377197E0
1.399228917E0,-7.108867035E0
1.409198917E0,-6.843169556E0
1.419168917E0,-6.560706940E0
1.429138917E0,-6.362369385E0
1.439108917E0,-6.287525024E0
1.449078917E0,-6.206244049E0
1.459048917E0,-6.102360077E0
1.469018917E0,-5.883215790E0
1.478988917E0,-5.604196014E0
1.488958917E0,-5.311404877E0
1.498928917E0,-5.172643433E0
1.508898917E0,-5.106181641E0
1.518868917E0,-4.965923309E0
1.528838917E0,-5.014422455E0
1.538808917E0,-5.088967438E0
1.548778917E0,-5.242098999E0
1.558748917E0,-5.446274414E0
1.568718917E0,-5.620212708E0
1.578688917E0,-5.600453796E0
1.588658917E0,-5.412893829E0
1.598628917E0,-5.232668610E0
1.608598917E0,-5.110522614E0
1.618568917E0,-4.999752960E0
1.628538917E0,-5.021457825E0
1.638508917E0,-5.213209076E0
1.648478917E0,-5.489384766E0
1.658448917E0,-5.766757965E0
1.668418917E0,-5.971083069E0
1.678388917E0,-6.127657471E0
1.688358917E0,-6.302194519E0
1.698328917E0,-6.454128571E0
1.708298917E0,-6.421496429E0
1.718268917E0,-6.273005219E0
1.728238917E0,-6.336622925E0
1.738208917E0,-6.391708374E0
1.748178917E0,-6.567891998E0
1.758148917E0,-6.853198700E0
1.768118917E0,-7.143295441E0
1.778088917E0,-7.511230316E0
1.788058917E0,-7.850574646E0
1.798028917E0,-8.142916718E0
1.807998917E0,-8.370293884E0
1.817968917E0,-8.562344513E0
1.827938917E0,-8.769064636E0
1.837908917E0,-9.017398224E0
1.847878917E0,-9.365723877E0
1.857848917E0,-9.833501129E0
1.867818917E0,-1.024469604E1
1.877788917E0,-1.053613998E1
1.887758917E0,-1.069510941E1
1.897728917E0,-1.064750839E1
1.907698917E0,-1.050305878E1
1.917668917E0,-1.025592270E1
1.927638917E0,-9.941726074E0
1.937608917E0,-9.662706299E0
1.947578917E0,-9.395960999E0
1.957548917E0,-9.053323517E0
1.967518917E0,-8.686286774E0
1.977488917E0,-8.377029877E0
1.987458917E0,-8.110733643E0
1.997428917E0,-7.916287994E0
2.007398917E0,-7.808961182E0
2.017368917E0,-7.748636627E0
2.027338917E0,-7.660469971E0
2.037308917E0,-7.576195221E0
2.047278917E0,-7.518565063E0
2.057248917E0,-7.451055450E0
2.067218917E0,-7.330855408E0
2.077188917E0,-7.202272797E0
2.087158917E0,-7.088509369E0
2.097128917E0,-6.997498627E0
2.107098917E0,-6.953340454E0
2.117068917E0,-6.946754150E0
2.127038917E0,-6.985523529E0
2.137008917E0,-6.983876953E0
2.146978917E0,-6.924450531E0
2.156948917E0,-6.944808197E0
2.166918917E0,-6.950646057E0
2.176888917E0,-6.907835083E0
2.186858917E0,-6.866970062E0
2.196828917E0,-6.825955353E0
2.206798917E0,-6.742728424E0
2.216768917E0,-6.738237762E0
2.226738917E0,-6.776109009E0
2.236708917E0,-6.834188232E0
2.246678917E0,-6.874005432E0
2.256648917E0,-6.953939209E0
2.266618917E0,-7.055128784E0
