"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.680192800858714E9,"2023-03-30 12:13:20.859 UTC-04:00"
"PAUSE",7.056977483333321E1,1.680192871426808E9,"2023-03-30 12:14:31.427 UTC-04:00"
"START",7.056977483333321E1,1.680192884605493E9,"2023-03-30 12:14:44.605 UTC-04:00"
"PAUSE",1.374965829166686E2,1.680192951530709E9,"2023-03-30 12:15:51.531 UTC-04:00"
"START",1.374965829166686E2,1.680192966146517E9,"2023-03-30 12:16:06.147 UTC-04:00"
"PAUSE",1.392590802916748E2,1.680192967908973E9,"2023-03-30 12:16:07.909 UTC-04:00"
"START",1.392590802916748E2,1.680193083479882E9,"2023-03-30 12:18:03.480 UTC-04:00"
"PAUSE",1.933576984583415E2,1.680193137577212E9,"2023-03-30 12:18:57.577 UTC-04:00"
"START",1.933576984583415E2,1.680193160319928E9,"2023-03-30 12:19:20.320 UTC-04:00"
"PAUSE",2.557003762083405E2,1.680193222661123E9,"2023-03-30 12:20:22.661 UTC-04:00"
