"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.520833368E-5,-7.031627655E0,8.278983765E0,1.208287354E0,1.092910417E1
9.943791669E-3,-7.308551788E0,8.066276093E0,1.550625458E0,1.099473413E1
1.991179167E-2,-7.268584900E0,7.741152191E0,2.375859375E0,1.088128997E1
2.987979167E-2,-7.063511353E0,7.498806152E0,3.486849060E0,1.087581734E1
3.984779167E-2,-6.905739441E0,7.383396149E0,4.436025238E0,1.104002246E1
4.981679167E-2,-6.543492737E0,7.159761200E0,4.911885681E0,1.087226281E1
5.978479167E-2,-5.874533844E0,7.066056061E0,5.101092224E0,1.051001608E1
6.975279167E-2,-5.322631531E0,7.110214233E0,5.116659851E0,1.025015907E1
7.972079167E-2,-5.204078064E0,7.045249329E0,5.097649384E0,1.013429799E1
8.968979167E-2,-5.178930359E0,6.844217377E0,5.402864685E0,1.014177391E1
9.965779167E-2,-4.961582336E0,6.699468384E0,6.071823578E0,1.031344838E1
1.096257917E-1,-4.658612366E0,6.711144104E0,6.899602203E0,1.069329860E1
1.195937917E-1,-4.566853180E0,6.720275116E0,7.582781525E0,1.111381218E1
1.295627917E-1,-4.439767456E0,6.533762970E0,8.026009827E0,1.126136880E1
1.395307917E-1,-4.119882660E0,6.272705841E0,8.241561584E0,1.114646173E1
1.494987917E-1,-3.681145020E0,6.088289337E0,8.408464508E0,1.101455270E1
1.594667917E-1,-3.296744385E0,5.872587891E0,8.530311127E0,1.086839547E1
1.694357917E-1,-3.051554260E0,5.724994812E0,8.336314545E0,1.056322343E1
1.794037917E-1,-2.868484955E0,5.633834381E0,7.881410522E0,1.010370861E1
1.893717917E-1,-2.758912811E0,5.535638580E0,7.487579498E0,9.711783623E0
1.993397917E-1,-2.744542694E0,5.424120483E0,7.061715088E0,9.317801114E0
2.093087917E-1,-2.666854248E0,5.280419312E0,6.504723358E0,8.792403861E0
2.192767917E-1,-2.442021790E0,5.272635498E0,5.880521393E0,8.267084575E0
2.292447917E-1,-2.365231476E0,5.339097290E0,5.326523438E0,7.903931410E0
2.392127917E-1,-2.530338135E0,5.333409119E0,4.942571869E0,7.699148043E0
2.491817917E-1,-2.782563629E0,5.387895813E0,4.880750427E0,7.784202360E0
2.591497917E-1,-3.173550568E0,5.441334686E0,5.040468292E0,8.067581235E0
2.691177917E-1,-3.557801514E0,5.426814880E0,5.283113708E0,8.367769226E0
2.790867917E-1,-3.998634796E0,5.411995697E0,5.609584808E0,8.760491960E0
2.890547917E-1,-4.377197571E0,5.417833557E0,5.903723145E0,9.130538100E0
2.990227917E-1,-4.458029480E0,5.312303009E0,6.101312256E0,9.236915142E0
3.089907917E-1,-4.483476562E0,5.125790863E0,6.310427399E0,9.284222531E0
3.189597917E-1,-4.602628784E0,4.987029419E0,6.514153748E0,9.406851397E0
3.289277917E-1,-4.702471161E0,4.826862488E0,6.604865112E0,9.435893156E0
3.388957917E-1,-4.726571045E0,4.719535675E0,6.280190277E0,9.168166706E0
3.488637917E-1,-4.295916595E0,4.844675446E0,6.002068634E0,8.828964121E0
3.588327917E-1,-4.147425385E0,4.092789001E0,5.737568665E0,8.177515106E0
3.688007917E-1,-3.909869385E0,3.383114777E0,5.507048035E0,7.553815079E0
3.787687917E-1,-3.954626312E0,3.374881897E0,5.560037842E0,7.612024559E0
3.887367917E-1,-3.669020233E0,3.308270416E0,5.382656708E0,7.306117700E0
3.987057917E-1,-3.051105194E0,3.028651886E0,4.966971130E0,6.569077360E0
4.086737917E-1,-2.463427277E0,2.582280121E0,4.419260101E0,5.680361292E0
4.186417917E-1,-2.370769958E0,2.312241669E0,3.772305450E0,5.019691240E0
4.286097917E-1,-2.977608032E0,3.193758545E0,3.123255157E0,5.368516184E0
4.385787917E-1,-2.560275879E0,2.796634369E0,2.600093079E0,4.597462386E0
4.485467917E-1,-2.928210754E0,2.376009064E0,2.098486176E0,4.315493196E0
4.585147917E-1,-3.432512054E0,2.150727539E0,2.072440338E0,4.550030429E0
4.684827917E-1,-3.373834076E0,1.592388611E0,2.035467224E0,4.249892314E0
4.784517917E-1,-2.968926086E0,1.072220306E0,1.668280792E0,3.570341621E0
4.884197917E-1,-2.637515259E0,6.613247681E-1,9.554631042E-1,2.882142768E0
4.983877917E-1,-2.236499176E0,2.381547546E-1,8.891510010E-2,2.250900297E0
5.083557917E-1,-2.172731781E0,-6.159690857E-1,-2.652484131E-1,2.273881709E0
5.183247083E-1,-1.845362549E0,-1.302591248E0,-4.796026611E-1,2.309139582E0
5.282927083E-1,-1.167871399E0,-1.618733826E0,-1.383572845E0,2.428682075E0
5.382607083E-1,-1.156794434E0,-1.832938385E0,-1.883832550E0,2.871700117E0
5.482297083E-1,-1.259480896E0,-2.326911163E0,-1.695374451E0,3.142467536E0
5.581977083E-1,-8.026309204E-1,-2.689307556E0,-1.163680115E0,3.038213774E0
5.681657083E-1,-1.305884399E0,-2.953807526E0,-7.472460938E-1,3.314919258E0
5.781337083E-1,-1.884880371E0,-3.459755402E0,-2.300715637E-1,3.946595289E0
5.881017083E-1,-2.517165527E0,-3.636388092E0,1.698966980E-1,4.425867772E0
5.980707083E-1,-2.966980133E0,-3.867208099E0,4.543052673E-1,4.895371576E0
6.080387083E-1,-3.283721466E0,-4.259392548E0,5.998027039E-1,5.411563067E0
6.180067083E-1,-3.828588409E0,-4.678071899E0,7.930508423E-1,6.096833239E0
6.279757083E-1,-4.655917969E0,-4.869523773E0,1.152752838E0,6.835105926E0
6.379437083E-1,-5.305567017E0,-4.756808167E0,1.403331757E0,7.262616975E0
6.479117083E-1,-5.962999878E0,-4.537813568E0,1.474284210E0,7.636925655E0
