"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.464333339E-3,3.488196259E0,6.745572510E0,5.724695435E0,9.510120895E0
1.643533334E-2,3.464994507E0,6.634952545E0,5.159171448E0,9.090975318E0
2.640533334E-2,3.331172791E0,6.579567719E0,5.407804413E0,9.145040847E0
3.637533334E-2,3.127895508E0,6.638994141E0,6.261179810E0,9.646882715E0
4.634633334E-2,2.823728027E0,6.684948578E0,7.191794586E0,1.021684329E1
5.631633334E-2,2.375110931E0,6.452781372E0,8.028554535E0,1.057058311E1
6.628633333E-2,1.981429596E0,6.170767822E0,8.533005524E0,1.071525184E1
7.625733333E-2,1.875599670E0,6.051016846E0,8.685388641E0,1.075028627E1
8.622733334E-2,1.891766052E0,6.033054199E0,8.611143036E0,1.068308505E1
9.619733334E-2,1.861379242E0,6.061345367E0,8.212671661E0,1.037557787E1
1.061683333E-1,1.754651184E0,6.049370270E0,7.673492889E0,9.927546251E0
1.161383333E-1,1.835932159E0,6.135590973E0,7.140451355E0,9.591776115E0
1.261083333E-1,1.936073914E0,6.243965607E0,7.002588043E0,9.579756156E0
1.360793333E-1,1.880389709E0,6.109694824E0,7.197033691E0,9.626085926E0
1.460493333E-1,1.538949738E0,5.956712952E0,7.564220123E0,9.750293409E0
1.560203333E-1,1.131047974E0,5.964796143E0,7.967631226E0,1.001704597E1
1.659903333E-1,9.548643494E-1,6.091881866E0,8.252039795E0,1.030140531E1
1.759603333E-1,1.091679840E0,6.240223389E0,8.417146454E0,1.053472863E1
1.859313333E-1,1.274150391E0,6.337071991E0,8.342751160E0,1.055383521E1
1.959013333E-1,1.282233582E0,6.351591797E0,8.022417297E0,1.031242070E1
2.058713333E-1,1.303190002E0,6.341562653E0,7.609276428E0,9.990736150E0
2.158423333E-1,1.455573120E0,6.373146973E0,7.261250153E0,9.770437514E0
2.258123333E-1,1.498084717E0,6.377188568E0,7.058272247E0,9.629745530E0
2.357823333E-1,1.366957397E0,6.290219421E0,6.928641815E0,9.457352182E0
2.457533333E-1,1.433868256E0,6.137087860E0,6.862030334E0,9.317042765E0
2.557233333E-1,1.710043945E0,6.129453735E0,6.833290100E0,9.337467911E0
2.656933333E-1,1.826651459E0,6.176306305E0,6.691684570E0,9.287736942E0
2.756643333E-1,1.670675812E0,6.070177002E0,6.674769745E0,9.175552171E0
2.856343333E-1,1.511556702E0,5.918841705E0,7.003186798E0,9.293121979E0
2.956043333E-1,1.223705292E0,5.741011505E0,7.464228058E0,9.495860585E0
3.055753333E-1,8.729846191E-1,5.592220917E0,7.838749237E0,9.668558658E0
3.155453333E-1,1.772314453E-1,5.541476440E0,8.025560760E0,9.754434768E0
3.255153333E-1,-1.594783630E0,4.935536499E0,8.457861786E0,9.921606793E0
3.354863333E-1,-2.267634430E0,4.675976257E0,8.154293060E0,9.669509563E0
3.454563333E-1,-2.517015839E0,4.727169800E0,6.228397980E0,8.214282954E0
3.554273333E-1,-1.747466125E0,5.716312866E0,6.946903839E0,9.164570017E0
3.653973333E-1,-1.633403320E0,5.985902252E0,5.810317383E0,8.500518824E0
3.753673333E-1,-1.198707275E0,5.360802155E0,6.114035797E0,8.219278107E0
3.853383333E-1,-1.521436157E0,4.739444275E0,7.161707153E0,8.721648317E0
3.953083333E-1,-2.338437195E0,4.501888275E0,7.771389313E0,9.280613040E0
4.052783333E-1,-2.983595581E0,4.438569946E0,8.058043213E0,9.671339420E0
4.152493333E-1,-4.151766357E0,4.413721619E0,7.179669800E0,9.394985942E0
4.252193333E-1,-4.224365387E0,4.545747070E0,7.241640930E0,9.536794153E0
4.351893333E-1,-3.529959412E0,4.017345886E0,7.901019745E0,9.540743914E0
4.451603333E-1,-3.372187500E0,3.997736664E0,6.977739716E0,8.720229269E0
4.551303333E-1,-2.416125641E0,3.488944702E0,7.236701202E0,8.389293328E0
4.651003333E-1,-1.357227631E0,2.935545502E0,8.420589294E0,9.020300344E0
4.750713333E-1,-1.237027588E0,3.402424622E0,9.256451111E0,9.939246336E0
4.850413333E-1,-1.730251923E0,3.536246338E0,1.003288651E1,1.077764452E1
4.950113333E-1,-1.918410645E0,3.020568695E0,1.044782364E1,1.104360238E1
