"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.011275000E-2,1.867067413E0,6.462062073E0,8.741671600E0,1.103000496E1
3.018775000E-2,1.927691345E0,6.245911560E0,1.230306564E1,1.393172026E1
4.026175000E-2,6.477030945E-1,4.851710815E0,1.363379837E1,1.448582325E1
5.033575000E-2,-1.597178650E-1,3.131188660E0,1.362451767E1,1.398060564E1
6.041075000E-2,-1.461710358E0,1.280736694E0,1.183409088E1,1.199260567E1
7.048475000E-2,-5.595364380E-1,2.408940582E0,1.077609100E1,1.105622960E1
8.055975000E-2,1.407073975E-1,4.316573639E0,9.509574738E0,1.044435820E1
9.063375001E-2,4.827461243E-1,5.279970245E0,8.036188660E0,9.627640302E0
1.007077500E-1,1.908531189E-1,5.823639679E0,7.379354553E0,9.402450619E0
1.107827500E-1,-5.254074097E-1,5.985752563E0,7.339537354E0,9.485467583E0
1.208567500E-1,-9.942324829E-1,5.807622986E0,7.373816071E0,9.438757673E0
1.309307500E-1,-8.437953186E-1,5.467530212E0,7.786208496E0,9.551487837E0
1.410057500E-1,-4.683760071E-1,5.295537872E0,8.842412109E0,1.031747786E1
1.510797500E-1,2.200424194E-2,5.312153320E0,1.122545654E1,1.241895051E1
1.611547500E-1,-1.068328400E0,5.274132385E0,1.350237167E1,1.453519311E1
1.712287500E-1,-2.187101898E0,5.138664093E0,1.387659348E1,1.495824622E1
1.813027500E-1,-1.761686554E0,5.078638916E0,1.308159668E1,1.414299418E1
1.913777500E-1,-1.288520508E0,4.888234863E0,1.158860138E1,1.264321190E1
2.014517500E-1,-1.619931335E0,4.468657379E0,1.080872314E1,1.180769124E1
2.115267500E-1,-2.040406952E0,3.930676117E0,1.032073792E1,1.123081058E1
2.216007500E-1,-1.959275665E0,3.964954834E0,9.495803375E0,1.047520452E1
2.316747500E-1,-2.413131866E0,4.567601624E0,8.588689728E0,1.002256361E1
2.417497500E-1,-3.285817108E0,5.057682495E0,7.135212250E0,9.342804725E0
2.518237500E-1,-3.781885529E0,4.926106110E0,5.844446411E0,8.527997034E0
2.618987500E-1,-3.494483185E0,4.291575623E0,5.185816040E0,7.584307619E0
2.719727500E-1,-2.979254608E0,3.274141388E0,5.339845734E0,6.936130932E0
2.820467500E-1,3.418141937E0,5.222190399E0,5.292244720E0,8.183081391E0
2.921217500E-1,1.051668045E1,8.198002167E0,8.821755066E0,1.598846990E1
3.021957500E-1,-7.773335266E-1,4.431833954E0,1.484852234E1,1.551528328E1
3.122697500E-1,-2.621049500E0,2.625689850E0,1.184995789E1,1.241715143E1
3.223447500E-1,-2.300416260E0,4.987628174E0,9.903705139E0,1.132482782E1
3.324187500E-1,-3.096011810E0,6.705605621E0,8.546028442E0,1.129535471E1
3.424937500E-1,-2.663112030E0,5.857918396E0,8.199648743E0,1.042312876E1
3.525677500E-1,-2.703677673E0,4.474046173E0,9.683513031E0,1.100442578E1
3.626417500E-1,-1.725312195E0,4.383634186E0,1.086051544E1,1.183823241E1
3.727167500E-1,-1.875599670E0,4.833448792E0,1.073492661E1,1.192135691E1
3.827907500E-1,-2.672093353E0,5.169949036E0,9.976304169E0,1.154967968E1
3.928657500E-1,-2.902913361E0,5.261558533E0,7.820038147E0,9.862246235E0
4.029397500E-1,-3.196452942E0,5.259462891E0,5.097499695E0,7.991480742E0
4.130137500E-1,-2.336640930E0,5.090913391E0,4.457131348E0,7.158443256E0
4.230887500E-1,-1.402882690E0,4.613705750E0,4.933141479E0,6.898568362E0
4.331627500E-1,-1.117875366E0,4.507426758E0,4.365821228E0,6.373926287E0
4.432377500E-1,-1.830094299E0,4.380041656E0,3.032693481E0,5.633048891E0
4.533117500E-1,-4.260590057E0,4.752467194E0,1.634451141E0,6.588626761E0
4.633857500E-1,-5.668861542E0,5.973478088E0,-4.490661621E-4,8.235194706E0
4.734607500E-1,-6.295757904E0,6.834337921E0,-1.524280243E0,9.416377895E0
