"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.704250033E-3,5.281467133E0,2.537223816E-1,7.658524017E0,9.306517084E0
1.377925003E-2,4.819228363E0,4.971162415E-1,9.527238007E0,1.068832777E1
2.385525004E-2,4.354145508E0,1.068927155E0,1.050725006E1,1.142381251E1
3.393025004E-2,3.846700745E0,1.606010284E0,1.026744873E1,1.108137532E1
4.400625004E-2,3.505111084E0,2.163301392E0,9.368118896E0,1.023363710E1
5.408125004E-2,3.270399170E0,2.549049225E0,8.298892365E0,9.277110388E0
6.415625004E-2,2.998564453E0,2.642155609E0,7.657476196E0,8.637668478E0
7.423225004E-2,2.494263153E0,2.812950439E0,7.799530792E0,8.658332370E0
8.430725004E-2,2.418370972E0,2.881058807E0,8.327632599E0,9.137750418E0
9.438325005E-2,2.296224976E0,2.684068451E0,8.628806305E0,9.323795946E0
1.044582500E-1,2.196382599E0,2.384092255E0,9.007518768E0,9.573055247E0
1.145342501E-1,2.320324860E0,1.982477417E0,9.098379822E0,9.596595206E0
1.246092501E-1,2.370769958E0,1.739832001E0,8.932674408E0,9.404266992E0
1.346852500E-1,2.430495758E0,1.908231812E0,8.747958527E0,9.277684876E0
1.447602501E-1,2.397564240E0,2.167193298E0,8.309819641E0,8.916173145E0
1.548352501E-1,2.497406616E0,2.250869293E0,8.023465118E0,8.699393363E0
1.649112500E-1,2.694097595E0,2.221081238E0,8.423583069E0,9.118558846E0
1.749862500E-1,2.951711884E0,2.188149719E0,9.210047607E0,9.915925533E0
1.850622500E-1,3.055895233E0,2.151775360E0,9.751471710E0,1.044317162E1
1.951372500E-1,2.955454102E0,2.143243103E0,9.862840118E0,1.051683484E1
2.052122500E-1,2.688559113E0,2.196981354E0,9.739197235E0,1.033958606E1
2.152882500E-1,2.488275604E0,2.234702911E0,9.294472046E0,9.877885563E0
2.253632500E-1,2.443967743E0,2.288740540E0,8.838220825E0,9.451214681E0
2.354392500E-1,2.599344635E0,2.354902954E0,8.702303467E0,9.382550084E0
2.455142500E-1,2.927911377E0,2.346520386E0,8.832382965E0,9.596343668E0
2.555902500E-1,3.131338348E0,2.218835907E0,8.808582458E0,9.608310859E0
2.656652500E-1,3.056344299E0,1.992805939E0,8.549022217E0,9.295068415E0
2.757402500E-1,2.642604675E0,2.000739441E0,8.121660919E0,8.771983463E0
2.858162500E-1,2.548300781E0,2.226619720E0,8.179590454E0,8.851969964E0
2.958912500E-1,2.686164093E0,2.266287231E0,8.177943878E0,8.901140456E0
3.059672500E-1,2.515818329E0,2.304158478E0,7.850275269E0,8.559515754E0
3.160422500E-1,2.132166138E0,2.346370697E0,7.597001953E0,8.232012303E0
3.261182500E-1,1.816772003E0,2.280956726E0,7.236701202E0,7.802132298E0
3.361932500E-1,1.323847046E0,1.436562653E0,6.429878998E0,6.720091308E0
3.462682083E-1,9.611512756E-1,4.466711426E-1,5.544320526E0,5.644715846E0
3.563442084E-1,1.261127472E0,4.569996643E-1,5.763315125E0,5.917355188E0
3.664192084E-1,1.538201294E0,2.769241333E-2,5.969885559E0,6.164930144E0
3.764952084E-1,1.801204376E0,-5.312452698E-1,6.084846497E0,6.368038601E0
3.865702084E-1,1.500330048E0,-8.674461365E-1,6.641389160E0,6.863781977E0
3.966462084E-1,6.424639893E-1,-7.289840698E-1,7.462731171E0,7.525724834E0
4.067212084E-1,-3.811074829E-1,-4.465214539E-1,8.715027008E0,8.734776475E0
4.167962084E-1,-1.105900269E0,1.296304321E-1,1.012210098E1,1.018316001E1
