"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.865833328E-4,-2.899919586E0,2.130669250E0,7.114106140E0,7.972439478E0
9.785416667E-3,-2.613714752E0,1.849254456E0,6.697971497E0,7.423885035E0
1.975641667E-2,-2.453398132E0,1.502725067E0,6.926695862E0,7.500430693E0
2.972741667E-2,-2.408192139E0,1.290316772E0,7.736062775E0,8.204326542E0
3.969941667E-2,-2.052531738E0,1.272653503E0,9.088650055E0,9.404046645E0
4.967041667E-2,-1.820963287E0,8.783734131E-1,1.089449478E1,1.108049925E1
5.964141666E-2,-2.119891663E0,6.283932495E-1,1.064496368E1,1.087216954E1
6.961341666E-2,-2.189945984E0,7.816744995E-1,9.761201477E0,1.003433768E1
7.958441667E-2,-1.734892273E0,1.035546570E0,9.039402466E0,9.262451341E0
8.955541667E-2,-1.243164825E0,8.072712708E-1,9.738897858E0,9.851054622E0
9.952741667E-2,-7.683522034E-1,2.339634705E-1,9.350605316E0,9.385037229E0
1.094984167E-1,-4.894821167E-1,-3.110531616E-1,9.822274475E0,9.839381214E0
1.194694167E-1,-6.051914978E-1,2.929408264E-1,1.015009277E1,1.017233771E1
1.294414167E-1,-8.210426331E-1,4.698728943E-1,1.055604858E1,1.059835144E1
1.394124167E-1,-9.723779297E-1,7.566764832E-1,1.093266541E1,1.100187489E1
1.493834167E-1,-8.069718933E-1,9.740245056E-1,1.023242157E1,1.031030448E1
1.593544167E-1,-6.680607605E-1,6.292913818E-1,9.773475952E0,9.816473145E0
1.693264167E-1,-6.203100586E-1,1.579216003E-1,9.364376678E0,9.386227910E0
1.792974167E-1,-8.193960571E-1,-1.422042847E-1,8.861272888E0,8.900212871E0
1.892684167E-1,-1.040336609E0,-1.204994202E-1,9.585167542E0,9.642212255E0
1.992404167E-1,-7.695497131E-1,-7.095245361E-2,1.001686981E1,1.004663734E1
2.092114167E-1,-4.095483398E-1,-1.754351807E-1,1.004905289E1,1.005892496E1
2.191824167E-1,-4.355941772E-2,-1.061293030E-1,9.924811249E0,9.925474254E0
2.291544167E-1,2.912942505E-1,-1.803749084E-1,9.623487854E0,9.629584930E0
2.391254167E-1,1.977388000E-1,-8.068222046E-1,1.063283890E1,1.066523913E1
